Nome,Pre�o,Foto,Descri��o,C�digo,Categoria
01 unid - tecido oxford,55.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/CF7C6391-B82F-4439-8C39-21D890D61F46.jpg?20231221112757963,AVENTAL EM TECIDO OXFORD E FITAS EM CORD�O ACETINADO,ATO01,avental 
05 unid - tecido oxford,250.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/D833BB58-4D01-4E33-89C2-04E6DB5A3503.jpg?20231221112758323,AVENTAL EM TECIDO OXFORD E FITAS EM CORD�O ACETINADO,ATO05,avental 
15 unid - tecido oxford,747.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/31491C62-CE5B-41FE-9329-17A6DB33445B.jpg?20231221112758700,AVENTAL EM TECIDO OXFORD E FITAS EM CORD�O ACETINADO,ATO15,avental 
25 unid - tecido oxford,952.49,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/EF6833CE-8538-464B-9143-EA98343933E4.jpg?20231221112759110,AVENTAL EM TECIDO OXFORD E FITAS EM CORD�O ACETINADO,ATO25,avental 
