Nome,Pre�o,Foto,Descri��o,C�digo,Categoria
50 unid - 175x260mm preto,136.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/0BA09C2A-BCC9-4120-979A-0CB03CA91FFF.jpg?20231222121141000,"Produto de alta qualidade.�tima para empresas, mec�nicas, concession�rias, postos de gasolina, lava jato, estacionamentos, seguradora, auto pe�as etc.Produzido em TNT Impressa no Silk.",LXCP50,lixeira para carro 
100 unid - 175x260mm preto,200.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/09EE17ED-1147-41E6-86EB-97566CE88F42.jpg?20231222121145000,"Produto de alta qualidade.�tima para empresas, mec�nicas, concession�rias, postos de gasolina, lava jato, estacionamentos, seguradora, auto pe�as etc.Produzido em TNT Impressa no Silk.",LXCP100,lixeira para carro 
250 unid - 175x260mm preto,365.48,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/63F160A7-845B-4CA3-9F7A-41EB6A5EE541.jpg?20231222121138000,"Produto de alta qualidade.�tima para empresas, mec�nicas, concession�rias, postos de gasolina, lava jato, estacionamentos, seguradora, auto pe�as etc.Produzido em TNT Impressa no Silk.",LXCP250,lixeira para carro 
500 unid - 175x260mm preto,625.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/DAE65AC5-054C-4F88-B2C4-39D8736F8DDA.jpg?20231222121148000,"Produto de alta qualidade.�tima para empresas, mec�nicas, concession�rias, postos de gasolina, lava jato, estacionamentos, seguradora, auto pe�as etc.Produzido em TNT Impressa no Silk.",LXCP500,lixeira para carro 
1000 unid - 175x260mm preto,951.75,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/8B7DAEEF-33B5-49BB-8D9A-CBC937204193.jpg?20231222121151000,"Produto de alta qualidade.�tima para empresas, mec�nicas, concession�rias, postos de gasolina, lava jato, estacionamentos, seguradora, auto pe�as etc.Produzido em TNT Impressa no Silk.",LXCP1000,lixeira para carro 
50 unid - 210x300mm preto,142.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/24A2E2F9-E09E-4B7A-A5AB-7F23C558A350.jpg?20231221113602390,"Produto de alta qualidade.�tima para empresas, mec�nicas, concession�rias, postos de gasolina, lava jato, estacionamentos, seguradora, auto pe�as etc.Produzido em TNT Impressa no Silk.",LXCP50G,lixeira para carro 
100 unid - 210x300mm preto,215.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/FB43A36F-27E8-41C4-87B6-F1455BE221B3.jpg?20231221113602750,"Produto de alta qualidade.�tima para empresas, mec�nicas, concession�rias, postos de gasolina, lava jato, estacionamentos, seguradora, auto pe�as etc.Produzido em TNT Impressa no Silk.",LXCP100G,lixeira para carro  
250 unid - 210x300mm preto,397.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/3D4299FA-6FBF-486C-B50A-493194128029.jpg?20231221113603110,"Produto de alta qualidade. �tima para empresas, mec�nicas, concession�rias, postos de gasolina, lava jato, estacionamentos, seguradora, auto pe�as etc. Produzido em TNT Impressa no Silk.",LXCP250G,lixeira para carro 
500 unid - 210x300mm preto,651.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/9B19336E-CB12-4454-B199-270621880D0A.jpg?20231221113603483,"Produto de alta qualidade. �tima para empresas, mec�nicas, concession�rias, postos de gasolina, lava jato, estacionamentos, seguradora, auto pe�as etc. Produzido em TNT Impressa no Silk.",LXCP500G,lixeira para carro 
1000 unid - 210x300mm preto,1067.25,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/3207B932-73F1-49BB-B7D6-6E975B2D0B1D.jpg?20231221113603843,"Produto de alta qualidade. �tima para empresas, mec�nicas, concession�rias, postos de gasolina, lava jato, estacionamentos, seguradora, auto pe�as etc. Produzido em TNT Impressa no Silk.",LXCP1000G,lixeira para carro 
50 unid - 175x260mm rosa,136.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/0C212657-87FB-4074-BD35-09036F458086.jpg?20231221113559380,Tag n�o encontrada,LXCR50C,lixeira para carro 
50 unid - 175x260mm verde,136.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/54C13DE5-A429-4DC1-9945-EFC2C455346C.jpg?20231221113559740,"Produto de alta qualidade. �tima para empresas, mec�nicas, concession�rias, postos de gasolina, lava jato, estacionamentos, seguradora, auto pe�as etc. Produzido em TNT Impressa no Silk.",LXCVE50,lixeira para carro 
100 unid - 175x260mm verde,200.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/2610E97C-F807-444D-B61A-8C99A50CD5F3.jpg?20231221113600117,"Produto de alta qualidade. �tima para empresas, mec�nicas, concession�rias, postos de gasolina, lava jato, estacionamentos, seguradora, auto pe�as etc. Produzido em TNT Impressa no Silk.",LXCVE100,lixeira para carro 
50 unid - 210x300mm verde,142.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B2DC7A84-4A33-48D6-84D2-8233898E3290.jpg?20231221113604207,"Produto de alta qualidade. �tima para empresas, mec�nicas, concession�rias, postos de gasolina, lava jato, estacionamentos, seguradora, auto pe�as etc. Produzido em TNT Impressa no Silk.",LXCVE50G,lixeira para carro 
100 unid - 210x300mm verde,215.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/AC57D093-FC00-49D8-8D8B-5C3B1BF1AD8B.jpg?20231221113604567,"Produto de alta qualidade. �tima para empresas, mec�nicas, concession�rias, postos de gasolina, lava jato, estacionamentos, seguradora, auto pe�as etc. Produzido em TNT Impressa no Silk.",LXCVE100G,lixeira para carro 
250 unid - 210x300mm verde,397.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/9C902A57-247B-4275-82B7-09FC4A4551DD.jpg?20231221113604917,"Produto de alta qualidade. �tima para empresas, mec�nicas, concession�rias, postos de gasolina, lava jato, estacionamentos, seguradora, auto pe�as etc. Produzido em TNT Impressa no Silk.",LXCVE250G,lixeira para carro 
500 unid - 210x300mm verde,651.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/EB59744A-D1D0-4CD8-BBEA-B38BEE0125FB.jpg?20231221113605277,"Produto de alta qualidade. �tima para empresas, mec�nicas, concession�rias, postos de gasolina, lava jato, estacionamentos, seguradora, auto pe�as etc. Produzido em TNT Impressa no Silk.",LXCVE500G,lixeira para carro 
